,TERYT,GMINA / COMMUNE,X,Y,Wrocław,Bydgoszcz,Lublin,Gorzów Wielkopolski,Łódź,Kraków,M.st.Warszawa od 2002,Opole,Rzeszów,Białystok,Gdańsk,Katowice,Kielce,Olsztyn,Poznań,Szczecin
224,0264011,Wrocław,16.99607331,51.12769193,0,315.64,527.45,320.2,223.88,292.1,360.48,107.52,452.84,542.2,564.22,207.72,369.45,553.83,180.1,415.2
401,0461011,Bydgoszcz,18.05258502,53.13129114,316.19,0,474.66,303.09,219.73,492.04,307.69,419.34,652.77,489.4,174.3,414.21,430.29,211.8,143.32,398.09
646,0663011,Lublin,22.55662478,51.22575414,528.16,474.08,0,643.2,301.07,314.29,171.2,510.07,162.94,350.57,598.41,398.85,196.61,386.54,483.44,738.2
762,0861011,Gorzów Wielkopolski,15.21948442,52.73143437,319.5,302.92,642.65,0,374.44,561.12,475.68,376.53,721.86,657.39,479.55,476.74,598.29,506.9,167.38,101.73
966,1061011,Łódź,19.48025964,51.76649094,223.88,220.51,308.08,375.62,0,290.66,141.11,205.79,451.39,322.83,344.84,212.82,154.95,334.46,215.85,470.62
1196,1261011,Kraków,19.98506858,50.05316399,290.91,490.65,314.56,561.61,289.21,0,299.41,199.87,170.45,496.19,614.98,93.21,119.57,507.83,466.41,656.61
1569,1465011,M.st.Warszawa od 2002,21.04773866,52.22933406,362.16,308.08,171.48,477.21,135.08,298.27,0,344.07,327.42,194.96,432.41,307.5,183.92,215.98,317.44,572.21
1673,1661011,Opole,17.91774355,50.67937798,106.77,417.81,509.47,377.47,205.9,200.95,342.5,0,361.69,524.21,546.23,116.57,278.3,535.85,282.27,472.47
1868,1863011,Rzeszów,21.99426942,50.02328154,452.73,652.47,161.91,723.43,451.03,170.47,327.94,361.69,0,507.31,776.8,255.03,194.78,547.83,628.23,818.43
2012,2061011,Białystok,23.15881458,53.13221982,542.86,488.78,351.22,657.9,315.77,494.69,192.25,524.76,507.16,0,424.75,517.69,380.35,226.6,498.14,752.9
2154,2261011,Gdańsk,18.63594813,54.35979887,564.66,174.86,599.94,479.21,345.01,617.32,432.97,546.56,778.06,425.97,0,539.49,555.58,185.08,319.45,360.08
2336,2469011,Katowice,19.02314195,50.21801778,211.38,414.48,397.9,482.08,213.04,93.06,307.54,120.34,253.79,516.8,538.82,0,170.41,528.43,386.88,577.08
2488,2661011,Kielce,20.60894831,50.86097866,370.18,428.7,195.49,597.83,151.04,120.35,183.08,279.14,194.1,379.86,553.04,172.48,0,391.49,438.06,692.83
2638,2862011,Olsztyn,20.47415863,53.78172657,554.72,209.62,387.23,504.15,327.63,506.55,215.79,536.63,547.1,229.35,184.02,529.55,392.21,0,344.38,541.48
2960,3064011,Poznań,16.92309868,52.40645431,181.1,144.08,483.82,168,215.61,468.85,316.85,284.26,629.58,498.56,320.71,384.46,439.45,348.06,0,263
3127,3262011,Szczecin,14.5596344826859,53.4226526803676,414.78,398.19,737.93,102.02,469.72,656.4,570.96,471.81,817.13,752.67,360.79,572.01,693.56,542.53,262.66,0
